CT,A<=24,A25-34,A35-54,A55-64,A>=65
36061013200,2679,2825,2799,1029,1518
36061013400,2365,2272,4048,1459,1932
36061013600,3048,4432,3868,1760,2851
36061014402,1419,1413,1606,936,1569
36061014801,711,536,794,286,808
36061015801,1224,748,1575,618,971
36061012600,2509,2700,3935,1268,2918
36061012200,310,158,482,341,1262
36061013800,1659,4280,3042,1161,2059
36061015200,1684,1384,2043,937,1366
36061014200,807,322,1069,619,1676
36061015001,482,154,475,361,654
36061015002,899,131,1139,921,1909
36061015400,2290,4075,3860,1011,2318
36061011000,1122,1995,1811,856,1125
36061011600,886,1014,842,196,393
36061012400,2345,2408,3149,641,1509
36061013000,465,397,745,590,1269
36061014401,881,967,1246,735,1189
36061014602,1332,1990,2507,332,1399
36061014802,1478,1671,1501,879,1257
36061010602,980,988,1490,526,578
36061011401,168,118,174,158,519
36061012800,1185,376,1207,903,2012
36061011800,1868,1524,2542,783,2050
36061015601,890,2302,1134,559,439
36061016001,698,113,1164,607,1173
36061012000,439,360,592,470,1195
36061023801,1736,2023,2291,1033,1450
36061023802,448,528,984,401,788
36061011402,302,248,437,258,550
36061014000,1372,1289,2228,793,1847
36061014601,479,2015,1008,457,309
