Year,Weekday AM Peak,Weekday PM Peak,Saturday Midday
2007,53738.5,110004,97221
2008,53644,108355.6667,94489.5
2009,54830.5,107041.6667,87048
2010,57478,111822.3333,93483.5
2011,57685,117014.6667,97395.5
2012,60560.5,113793.3333,101569
2013,60379,117454.6667,107645
2014,62929.5,116194.6667,94831.5
2015,61860.5,116998.6667,95831
2016,63068.5,118494.6667,100293
2017,65948.5,120015.3333,97500
2018,63114,114808.3333,99171.5
2019,55212.5,111185.3333,95038.5
2020,18725,44382,55910
2021,26762.5,62221,55786
